author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308357995/;Долгопрудный;sale;flat;23;23;1;46.7;10600000;;Новый бульвар;5;Долгопрудная;Новый бульвар
ID 536407;unknown;https://dolgoprudny.cian.ru/sale/flat/265497059/;Долгопрудный;sale;flat;12;14;1;44.6;8900000;;Лихачевское шоссе;1к4;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/307869466/;Долгопрудный;sale;flat;10;23;1;32.6;8225645;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308703388/;Долгопрудный;sale;flat;10;17;1;42.3;8850000;;проспект Ракетостроителей;5;Долгопрудная;
ID 89919508;unknown;https://dolgoprudny.cian.ru/sale/flat/303906099/;Долгопрудный;sale;flat;4;23;1;30.0;5900000;;Парковая ;52к1;Водники;Бригантина
;;https://dolgoprudny.cian.ru/sale/flat/308715954/;Долгопрудный;sale;flat;2;23;1;35.6;8748268;;;;Хлебниково;Бригантина ЖК
Марина Татаринцева;realtor;https://dolgoprudny.cian.ru/sale/flat/307887846/;Долгопрудный;sale;flat;5;9;1;32.4;6900000;; Академика Лаврентьева;25;Долгопрудная;
Дмирий Дмитриев;realtor;https://dolgoprudny.cian.ru/sale/flat/308685916/;Долгопрудный;sale;flat;4;5;1;32.0;6000000;;Московское шоссе;45;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/306627931/;Долгопрудный;sale;flat;23;23;1;33.6;8625424;;;;Хлебниково;Бригантина ЖК
Павел Кулагин;realtor;https://dolgoprudny.cian.ru/sale/flat/308855190/;Долгопрудный;sale;flat;1;5;2;40.0;6400000;; Железнякова;7;Водники;
ID 69265912;homeowner;https://dolgoprudny.cian.ru/sale/flat/307775344/;Долгопрудный;sale;flat;1;2;2;45.0;4800000;; 25-го съезда;12;Шереметьевская;
;;https://dolgoprudny.cian.ru/sale/flat/292583752/;Долгопрудный;sale;flat;2;23;2;42.2;8842402;;;;Водники;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307673422/;Долгопрудный;sale;flat;15;17;2;61.8;12750000;;Новый бульвар;15;Долгопрудная;
Парадайс;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308276417/;Долгопрудный;sale;flat;2;5;2;44.4;7400000;;Заводская ;9;Водники;
;;https://dolgoprudny.cian.ru/sale/flat/299389482/;Долгопрудный;sale;flat;5;23;2;60.0;12769592;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307446855/;Долгопрудный;sale;flat;2;9;2;43.8;8000000;; Циолковского;34;Долгопрудная;
ID 67474576;realtor;https://dolgoprudny.cian.ru/sale/flat/294527055/;Долгопрудный;sale;flat;20;21;1;40.0;10200000;;Старое Дмитровское шоссе;11;Водники;Московские водники
;;https://dolgoprudny.cian.ru/sale/flat/294460580/;Долгопрудный;sale;flat;7;23;2;40.2;8776196;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308906370/;Долгопрудный;sale;flat;1;17;1;40.5;7800000;;Новый бульвар;23;Долгопрудная;
Ольга Викулова;realtor;https://dolgoprudny.cian.ru/sale/flat/308619317/;Долгопрудный;sale;flat;1;5;1;31.0;5550000;;Московское шоссе;47;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/296045599/;Долгопрудный;sale;flat;2;23;2;35.0;7448937;;;;Хлебниково;Бригантина ЖК
Николай Ларионов;realtor;https://dolgoprudny.cian.ru/sale/flat/307685496/;Долгопрудный;sale;flat;7;10;2;69.6;17800000;;проспект Пацаева;7к4;Водники;
ИНКОМ-Недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/304796958/;Долгопрудный;sale;flat;12;17;2;62.5;8900000;;Новое шоссе;12;Хлебниково;Хлебниково
;;https://dolgoprudny.cian.ru/sale/flat/306627911/;Долгопрудный;sale;flat;17;23;2;43.2;10615922;;;;Хлебниково;Бригантина ЖК
Марина Татаринцева;realtor;https://dolgoprudny.cian.ru/sale/flat/307004021/;Долгопрудный;sale;flat;2;9;2;42.1;8000000;; Академика Лаврентьева;23;Долгопрудная;
Елена Васильева;realtor;https://dolgoprudny.cian.ru/sale/flat/306098285/;Долгопрудный;sale;flat;3;5;2;45.0;6900000;;Московское шоссе;45;Долгопрудная;
;;https://dolgoprudny.cian.ru/sale/flat/306627864/;Долгопрудный;sale;flat;2;23;2;60.8;14007111;;;;Хлебниково;Бригантина ЖК
Галант;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308703383/;Долгопрудный;sale;flat;3;3;1;34.3;6650000;;Нагорная ;7/11;Долгопрудная;
ИНКОМ-Недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306017108/;Долгопрудный;sale;flat;2;2;2;37.0;4800000;; 25-го съезда;14;Шереметьевская;
Аида Кудякова;realtor;https://dolgoprudny.cian.ru/sale/flat/308590841/;Долгопрудный;sale;flat;7;9;2;44.5;8900000;; Академика Лаврентьева;21;Долгопрудная;
ID 5282;realtor;https://dolgoprudny.cian.ru/sale/flat/296931864/;Долгопрудный;sale;flat;3;3;2;42.0;5800000;;Речная ;6а;Водники;
Место;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308872073/;Долгопрудный;sale;flat;6;23;1;34.0;7300000;;Парковая ;48;Долгопрудная;Бригантина
ID 19201812;realtor;https://dolgoprudny.cian.ru/sale/flat/306548868/;Долгопрудный;sale;flat;14;25;2;58.0;10670000;;Лихачевский проспект;66к1;Долгопрудная;
Елена Васильева;realtor;https://dolgoprudny.cian.ru/sale/flat/307103238/;Долгопрудный;sale;flat;2;5;2;42.0;6850000;;Советская ;8/8;Долгопрудная;
ID 180744;unknown;https://dolgoprudny.cian.ru/sale/flat/303236150/;Долгопрудный;sale;flat;14;25;2;46.0;10150000;;Новый бульвар;7;Долгопрудная;мкр. Центральный корп. 9, 10, 11
Замоскворечье;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308814976/;Долгопрудный;sale;flat;4;19;2;62.0;10000000;;Новое шоссе;10к1;Хлебниково;
Сбербанк;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307578504/;Долгопрудный;sale;flat;15;18;2;57.4;9202000;;Набережная ;27;Водники;Московские водники
КапиталЪ;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/293802347/;Долгопрудный;sale;flat;9;9;2;51.0;9000000;;Лихачевское шоссе;10;Долгопрудная;
Елена Стометова;realtor;https://dolgoprudny.cian.ru/sale/flat/302920553/;Долгопрудный;sale;flat;15;24;1;39.6;7999999;;Старое Дмитровское шоссе;11;Водники;Московские водники
Владис;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308768316/;Долгопрудный;sale;flat;10;19;1;47.0;8800000;;проспект Ракетостроителей;1к1;Долгопрудная;
ID 88057659;homeowner;https://dolgoprudny.cian.ru/sale/flat/308495920/;Долгопрудный;sale;flat;13;23;1;30.3;8300000;;Парковая ;48;Долгопрудная;Бригантина
Равиля Минуллина;realtor;https://dolgoprudny.cian.ru/sale/flat/303828859/;Долгопрудный;sale;flat;5;5;2;47.0;7990000;; Железнякова;2а;Водники;
ID 388457;realtor;https://dolgoprudny.cian.ru/sale/flat/302683388/;Долгопрудный;sale;flat;19;25;1;35.0;9400000;;Новый бульвар;9к1;Долгопрудная;
Октава-Недвижимость;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/293992354/;Долгопрудный;sale;flat;8;23;2;50.5;10850000;;Старое Дмитровское шоссе;11;Водники;Московские водники
Елена Шишканова;realtor;https://dolgoprudny.cian.ru/sale/flat/305555243/;Долгопрудный;sale;flat;8;9;2;47.0;7800000;;Лихачевское шоссе;13к2;Долгопрудная;
Екатерина Попова;realtor;https://dolgoprudny.cian.ru/sale/flat/301060202/;Долгопрудный;sale;flat;2;10;2;67.6;11950000;;Центральная ;5;Долгопрудная;
Дeльта;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/303482954/;Долгопрудный;sale;flat;7;9;2;46.1;8000000;;Лихачевское шоссе;13к2;Долгопрудная;
РиэлтиГлобал;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/304367393/;Долгопрудный;sale;flat;1;2;1;31.7;5600000;; Павлова;10;Долгопрудная;
АЛЬЯНС;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307741827/;Долгопрудный;sale;flat;2;9;2;45.0;9100000;мкр. Гранитный;Молодежная ;20;;
Андрей Слободский;realtor;https://dolgoprudny.cian.ru/sale/flat/308044951/;Долгопрудный;sale;flat;21;24;1;32.0;6300000;;Парковая ;52;Водники;Бригантина
Игорь Смирнов;realtor;https://dolgoprudny.cian.ru/sale/flat/308437368/;Долгопрудный;sale;flat;1;2;1;31.5;6000000;;Заводская ;8;Водники;
Сергей Пчельников;realtor;https://dolgoprudny.cian.ru/sale/flat/305244870/;Долгопрудный;sale;flat;13;17;2;60.7;12900000;;Спортивная ;11Б;Долгопрудная;
ID 62973310;homeowner;https://dolgoprudny.cian.ru/sale/flat/295736861/;Долгопрудный;sale;flat;16;21;1;44.7;8950000;;проспект Ракетостроителей;3;Долгопрудная;
СЕЛЕНА;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/302758905/;Долгопрудный;sale;flat;12;23;1;39.0;8100000;;Старое Дмитровское шоссе;11;Водники;Московские водники
Владис;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/306505296/;Долгопрудный;sale;flat;5;9;2;43.8;8050000;;Лихачевское шоссе;20к1;Водники;
Владислав Павлов;realtor;https://dolgoprudny.cian.ru/sale/flat/307036093/;Долгопрудный;sale;flat;7;17;1;42.3;8999999;;проспект Ракетостроителей;5;Долгопрудная;
ID 83634082;homeowner;https://dolgoprudny.cian.ru/sale/flat/308331153/;Долгопрудный;sale;flat;6;17;1;44.6;9800000;;Новый бульвар;21;Долгопрудная;
Алевтина Исламгулова;realtor;https://dolgoprudny.cian.ru/sale/flat/307340053/;Долгопрудный;sale;flat;3;17;2;57.0;11300000;;Парковая ;32А;Водники;
Елена Алексеева;realtor;https://dolgoprudny.cian.ru/sale/flat/303625567/;Долгопрудный;sale;flat;1;5;2;30.0;5990000;;Нагорная ;6;Долгопрудная;
Дмитрий Некипелов;realtor;https://dolgoprudny.cian.ru/sale/flat/307812116/;Долгопрудный;sale;flat;1;5;1;32.0;5700000;;Дирижабельная ;28к1;Водники;
ID 41050977;homeowner;https://dolgoprudny.cian.ru/sale/flat/296938375/;Долгопрудный;sale;flat;1;3;2;43.0;5500000;;Железнодорожная ;28;Хлебниково;
Наталья Гунькина;realtor;https://dolgoprudny.cian.ru/sale/flat/304367347/;Долгопрудный;sale;flat;13;19;1;42.0;9000000;;бульвар Имени Умберто Нобиле;1;Долгопрудная;
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308899691/;Долгопрудный;sale;flat;14;25;1;45.7;9150000;;Новый бульвар;7;Долгопрудная;мкр. Центральный корп. 9, 10, 11
Комета Эстейт;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308567103/;Долгопрудный;sale;flat;2;9;2;43.8;7999999;; Циолковского;34;Долгопрудная;
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308758235/;Долгопрудный;sale;flat;2;2;1;35.8;5400000;; Нефтяников;9;Шереметьевская;
Галина Дубкова;realtor;https://dolgoprudny.cian.ru/sale/flat/308716428/;Долгопрудный;sale;flat;20;23;1;28.5;7500000;;Парковая ;52к1;Водники;Бригантина
Дмитрий Демиденко;realtor;https://dolgoprudny.cian.ru/sale/flat/306264210/;Долгопрудный;sale;flat;17;17;1;46.0;8300000;;Новый бульвар;15;Долгопрудная;
Валерий Петров;realtor;https://dolgoprudny.cian.ru/sale/flat/295073194/;Долгопрудный;sale;flat;3;9;1;37.0;7500000;; Академика Лаврентьева;5;Водники;
Этажи Москва;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308549279/;Долгопрудный;sale;flat;3;5;2;44.6;6850000;;Московское шоссе;45;Долгопрудная;
СМАРЕНТ;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/307418536/;Долгопрудный;sale;flat;5;5;2;44.0;7300000;;Нагорная ;4;Долгопрудная;
ID 72812578;homeowner;https://dolgoprudny.cian.ru/sale/flat/280746159/;Долгопрудный;sale;flat;4;27;1;45.7;8700000;;Новый бульвар;7;Долгопрудная;мкр. Центральный корп. 9, 10, 11
